"","X","value","date","station","datatype","day","hour"
"55","2016-07-30 23:00:00",87,2016-07-30 19:00:00,"KTPA","Forecast",2016-07-30,19
"56","2016-07-31 00:00:00",85,2016-07-30 20:00:00,"KTPA","Forecast",2016-07-30,20
"57","2016-07-31 01:00:00",83,2016-07-30 21:00:00,"KTPA","Forecast",2016-07-30,21
"58","2016-07-31 02:00:00",82,2016-07-30 22:00:00,"KTPA","Forecast",2016-07-30,22
"59","2016-07-31 03:00:00",81,2016-07-30 23:00:00,"KTPA","Forecast",2016-07-30,23
"60","2016-07-31 04:00:00",81,2016-07-31 00:00:00,"KTPA","Forecast",2016-07-31,0
"61","2016-07-31 05:00:00",81,2016-07-31 01:00:00,"KTPA","Forecast",2016-07-31,1
"62","2016-07-31 06:00:00",80,2016-07-31 02:00:00,"KTPA","Forecast",2016-07-31,2
"63","2016-07-31 07:00:00",80,2016-07-31 03:00:00,"KTPA","Forecast",2016-07-31,3
"64","2016-07-31 08:00:00",79,2016-07-31 04:00:00,"KTPA","Forecast",2016-07-31,4
"65","2016-07-31 09:00:00",79,2016-07-31 05:00:00,"KTPA","Forecast",2016-07-31,5
"66","2016-07-31 10:00:00",79,2016-07-31 06:00:00,"KTPA","Forecast",2016-07-31,6
"67","2016-07-31 11:00:00",78,2016-07-31 07:00:00,"KTPA","Forecast",2016-07-31,7
"68","2016-07-31 12:00:00",80,2016-07-31 08:00:00,"KTPA","Forecast",2016-07-31,8
"69","2016-07-31 13:00:00",83,2016-07-31 09:00:00,"KTPA","Forecast",2016-07-31,9
"70","2016-07-31 14:00:00",85,2016-07-31 10:00:00,"KTPA","Forecast",2016-07-31,10
"71","2016-07-31 15:00:00",87,2016-07-31 11:00:00,"KTPA","Forecast",2016-07-31,11
"72","2016-07-31 16:00:00",88,2016-07-31 12:00:00,"KTPA","Forecast",2016-07-31,12
"73","2016-07-31 17:00:00",90,2016-07-31 13:00:00,"KTPA","Forecast",2016-07-31,13
"74","2016-07-31 18:00:00",91,2016-07-31 14:00:00,"KTPA","Forecast",2016-07-31,14
"75","2016-07-31 19:00:00",90,2016-07-31 15:00:00,"KTPA","Forecast",2016-07-31,15
"76","2016-07-31 20:00:00",89,2016-07-31 16:00:00,"KTPA","Forecast",2016-07-31,16
"77","2016-07-31 21:00:00",88,2016-07-31 17:00:00,"KTPA","Forecast",2016-07-31,17
"78","2016-07-31 22:00:00",87,2016-07-31 18:00:00,"KTPA","Forecast",2016-07-31,18
"79","2016-07-31 23:00:00",85,2016-07-31 19:00:00,"KTPA","Forecast",2016-07-31,19
"80","2016-08-01 00:00:00",83,2016-07-31 20:00:00,"KTPA","Forecast",2016-07-31,20
"81","2016-08-01 01:00:00",81,2016-07-31 21:00:00,"KTPA","Forecast",2016-07-31,21
"82","2016-08-01 02:00:00",81,2016-07-31 22:00:00,"KTPA","Forecast",2016-07-31,22
"83","2016-08-01 03:00:00",81,2016-07-31 23:00:00,"KTPA","Forecast",2016-07-31,23
"84","2016-08-01 04:00:00",81,2016-08-01 00:00:00,"KTPA","Forecast",2016-08-01,0
"85","2016-08-01 05:00:00",81,2016-08-01 01:00:00,"KTPA","Forecast",2016-08-01,1
"86","2016-08-01 06:00:00",80,2016-08-01 02:00:00,"KTPA","Forecast",2016-08-01,2
"87","2016-08-01 07:00:00",79,2016-08-01 03:00:00,"KTPA","Forecast",2016-08-01,3
"88","2016-08-01 08:00:00",79,2016-08-01 04:00:00,"KTPA","Forecast",2016-08-01,4
"89","2016-08-01 09:00:00",79,2016-08-01 05:00:00,"KTPA","Forecast",2016-08-01,5
"90","2016-08-01 10:00:00",78,2016-08-01 06:00:00,"KTPA","Forecast",2016-08-01,6
"91","2016-08-01 11:00:00",78,2016-08-01 07:00:00,"KTPA","Forecast",2016-08-01,7
"92","2016-08-01 12:00:00",79,2016-08-01 08:00:00,"KTPA","Forecast",2016-08-01,8
"93","2016-08-01 13:00:00",82,2016-08-01 09:00:00,"KTPA","Forecast",2016-08-01,9
"94","2016-08-01 14:00:00",84,2016-08-01 10:00:00,"KTPA","Forecast",2016-08-01,10
"95","2016-08-01 15:00:00",86,2016-08-01 11:00:00,"KTPA","Forecast",2016-08-01,11
"96","2016-08-01 16:00:00",88,2016-08-01 12:00:00,"KTPA","Forecast",2016-08-01,12
"97","2016-08-01 17:00:00",89,2016-08-01 13:00:00,"KTPA","Forecast",2016-08-01,13
"98","2016-08-01 18:00:00",90,2016-08-01 14:00:00,"KTPA","Forecast",2016-08-01,14
"99","2016-08-01 19:00:00",91,2016-08-01 15:00:00,"KTPA","Forecast",2016-08-01,15
"100","2016-08-01 20:00:00",91,2016-08-01 16:00:00,"KTPA","Forecast",2016-08-01,16
"101","2016-08-01 21:00:00",90,2016-08-01 17:00:00,"KTPA","Forecast",2016-08-01,17
