"","X","value","date","station","datatype","day","hour"
"1","2016-07-29 15:00:00",88,2016-07-29 11:00:00,"KTPA","Forecast",2016-07-29,11
"2","2016-07-29 16:00:00",88,2016-07-29 12:00:00,"KTPA","Forecast",2016-07-29,12
"3","2016-07-29 17:00:00",89,2016-07-29 13:00:00,"KTPA","Forecast",2016-07-29,13
"4","2016-07-29 18:00:00",89,2016-07-29 14:00:00,"KTPA","Forecast",2016-07-29,14
"5","2016-07-29 19:00:00",88,2016-07-29 15:00:00,"KTPA","Forecast",2016-07-29,15
"6","2016-07-29 20:00:00",88,2016-07-29 16:00:00,"KTPA","Forecast",2016-07-29,16
"7","2016-07-29 21:00:00",88,2016-07-29 17:00:00,"KTPA","Forecast",2016-07-29,17
"8","2016-07-29 22:00:00",87,2016-07-29 18:00:00,"KTPA","Forecast",2016-07-29,18
"9","2016-07-29 23:00:00",86,2016-07-29 19:00:00,"KTPA","Forecast",2016-07-29,19
"10","2016-07-30 00:00:00",85,2016-07-29 20:00:00,"KTPA","Forecast",2016-07-29,20
"11","2016-07-30 01:00:00",83,2016-07-29 21:00:00,"KTPA","Forecast",2016-07-29,21
"12","2016-07-30 02:00:00",82,2016-07-29 22:00:00,"KTPA","Forecast",2016-07-29,22
"13","2016-07-30 03:00:00",82,2016-07-29 23:00:00,"KTPA","Forecast",2016-07-29,23
"14","2016-07-30 04:00:00",81,2016-07-30 00:00:00,"KTPA","Forecast",2016-07-30,0
"15","2016-07-30 05:00:00",81,2016-07-30 01:00:00,"KTPA","Forecast",2016-07-30,1
"16","2016-07-30 06:00:00",80,2016-07-30 02:00:00,"KTPA","Forecast",2016-07-30,2
"17","2016-07-30 07:00:00",79,2016-07-30 03:00:00,"KTPA","Forecast",2016-07-30,3
"18","2016-07-30 08:00:00",79,2016-07-30 04:00:00,"KTPA","Forecast",2016-07-30,4
"19","2016-07-30 09:00:00",79,2016-07-30 05:00:00,"KTPA","Forecast",2016-07-30,5
"20","2016-07-30 10:00:00",79,2016-07-30 06:00:00,"KTPA","Forecast",2016-07-30,6
"21","2016-07-30 11:00:00",79,2016-07-30 07:00:00,"KTPA","Forecast",2016-07-30,7
"22","2016-07-30 12:00:00",81,2016-07-30 08:00:00,"KTPA","Forecast",2016-07-30,8
"23","2016-07-30 13:00:00",84,2016-07-30 09:00:00,"KTPA","Forecast",2016-07-30,9
"24","2016-07-30 14:00:00",85,2016-07-30 10:00:00,"KTPA","Forecast",2016-07-30,10
"25","2016-07-30 15:00:00",87,2016-07-30 11:00:00,"KTPA","Forecast",2016-07-30,11
"26","2016-07-30 16:00:00",88,2016-07-30 12:00:00,"KTPA","Forecast",2016-07-30,12
"27","2016-07-30 17:00:00",88,2016-07-30 13:00:00,"KTPA","Forecast",2016-07-30,13
"28","2016-07-30 18:00:00",89,2016-07-30 14:00:00,"KTPA","Forecast",2016-07-30,14
"29","2016-07-30 19:00:00",89,2016-07-30 15:00:00,"KTPA","Forecast",2016-07-30,15
"30","2016-07-30 20:00:00",89,2016-07-30 16:00:00,"KTPA","Forecast",2016-07-30,16
"31","2016-07-30 21:00:00",88,2016-07-30 17:00:00,"KTPA","Forecast",2016-07-30,17
"32","2016-07-30 22:00:00",88,2016-07-30 18:00:00,"KTPA","Forecast",2016-07-30,18
"33","2016-07-30 23:00:00",87,2016-07-30 19:00:00,"KTPA","Forecast",2016-07-30,19
"34","2016-07-31 00:00:00",85,2016-07-30 20:00:00,"KTPA","Forecast",2016-07-30,20
"35","2016-07-31 01:00:00",82,2016-07-30 21:00:00,"KTPA","Forecast",2016-07-30,21
"36","2016-07-31 02:00:00",81,2016-07-30 22:00:00,"KTPA","Forecast",2016-07-30,22
"37","2016-07-31 03:00:00",81,2016-07-30 23:00:00,"KTPA","Forecast",2016-07-30,23
"38","2016-07-31 04:00:00",81,2016-07-31 00:00:00,"KTPA","Forecast",2016-07-31,0
"39","2016-07-31 05:00:00",80,2016-07-31 01:00:00,"KTPA","Forecast",2016-07-31,1
"40","2016-07-31 06:00:00",79,2016-07-31 02:00:00,"KTPA","Forecast",2016-07-31,2
"41","2016-07-31 07:00:00",78,2016-07-31 03:00:00,"KTPA","Forecast",2016-07-31,3
"42","2016-07-31 08:00:00",78,2016-07-31 04:00:00,"KTPA","Forecast",2016-07-31,4
"43","2016-07-31 09:00:00",78,2016-07-31 05:00:00,"KTPA","Forecast",2016-07-31,5
"44","2016-07-31 10:00:00",77,2016-07-31 06:00:00,"KTPA","Forecast",2016-07-31,6
"45","2016-07-31 11:00:00",77,2016-07-31 07:00:00,"KTPA","Forecast",2016-07-31,7
"46","2016-07-31 12:00:00",79,2016-07-31 08:00:00,"KTPA","Forecast",2016-07-31,8
"47","2016-07-31 13:00:00",82,2016-07-31 09:00:00,"KTPA","Forecast",2016-07-31,9
"48","2016-07-31 14:00:00",84,2016-07-31 10:00:00,"KTPA","Forecast",2016-07-31,10
"49","2016-07-31 15:00:00",87,2016-07-31 11:00:00,"KTPA","Forecast",2016-07-31,11
"50","2016-07-31 16:00:00",88,2016-07-31 12:00:00,"KTPA","Forecast",2016-07-31,12
"51","2016-07-31 17:00:00",89,2016-07-31 13:00:00,"KTPA","Forecast",2016-07-31,13
"52","2016-07-31 18:00:00",90,2016-07-31 14:00:00,"KTPA","Forecast",2016-07-31,14
"53","2016-07-31 19:00:00",90,2016-07-31 15:00:00,"KTPA","Forecast",2016-07-31,15
"54","2016-07-31 20:00:00",88,2016-07-31 16:00:00,"KTPA","Forecast",2016-07-31,16
"55","2016-07-31 21:00:00",87,2016-07-31 17:00:00,"KTPA","Forecast",2016-07-31,17
"56","2016-07-31 22:00:00",86,2016-07-31 18:00:00,"KTPA","Forecast",2016-07-31,18
"57","2016-07-31 23:00:00",85,2016-07-31 19:00:00,"KTPA","Forecast",2016-07-31,19
"58","2016-08-01 00:00:00",83,2016-07-31 20:00:00,"KTPA","Forecast",2016-07-31,20
"59","2016-08-01 01:00:00",81,2016-07-31 21:00:00,"KTPA","Forecast",2016-07-31,21
"60","2016-08-01 02:00:00",81,2016-07-31 22:00:00,"KTPA","Forecast",2016-07-31,22
"61","2016-08-01 03:00:00",81,2016-07-31 23:00:00,"KTPA","Forecast",2016-07-31,23
"62","2016-08-01 04:00:00",80,2016-08-01 00:00:00,"KTPA","Forecast",2016-08-01,0
"63","2016-08-01 05:00:00",80,2016-08-01 01:00:00,"KTPA","Forecast",2016-08-01,1
"64","2016-08-01 06:00:00",79,2016-08-01 02:00:00,"KTPA","Forecast",2016-08-01,2
"65","2016-08-01 07:00:00",79,2016-08-01 03:00:00,"KTPA","Forecast",2016-08-01,3
"66","2016-08-01 08:00:00",78,2016-08-01 04:00:00,"KTPA","Forecast",2016-08-01,4
"67","2016-08-01 09:00:00",78,2016-08-01 05:00:00,"KTPA","Forecast",2016-08-01,5
"68","2016-08-01 10:00:00",78,2016-08-01 06:00:00,"KTPA","Forecast",2016-08-01,6
"69","2016-08-01 11:00:00",78,2016-08-01 07:00:00,"KTPA","Forecast",2016-08-01,7
"70","2016-08-01 12:00:00",79,2016-08-01 08:00:00,"KTPA","Forecast",2016-08-01,8
"71","2016-08-01 13:00:00",82,2016-08-01 09:00:00,"KTPA","Forecast",2016-08-01,9
"72","2016-08-01 14:00:00",84,2016-08-01 10:00:00,"KTPA","Forecast",2016-08-01,10
"73","2016-08-01 15:00:00",86,2016-08-01 11:00:00,"KTPA","Forecast",2016-08-01,11
"74","2016-08-01 16:00:00",87,2016-08-01 12:00:00,"KTPA","Forecast",2016-08-01,12
"75","2016-08-01 17:00:00",89,2016-08-01 13:00:00,"KTPA","Forecast",2016-08-01,13
"76","2016-08-01 18:00:00",89,2016-08-01 14:00:00,"KTPA","Forecast",2016-08-01,14
"77","2016-08-01 19:00:00",89,2016-08-01 15:00:00,"KTPA","Forecast",2016-08-01,15
"78","2016-08-01 20:00:00",89,2016-08-01 16:00:00,"KTPA","Forecast",2016-08-01,16
"79","2016-08-01 21:00:00",89,2016-08-01 17:00:00,"KTPA","Forecast",2016-08-01,17
"80","2016-08-01 22:00:00",89,2016-08-01 18:00:00,"KTPA","Forecast",2016-08-01,18
"81","2016-08-01 23:00:00",87,2016-08-01 19:00:00,"KTPA","Forecast",2016-08-01,19
"82","2016-08-02 00:00:00",85,2016-08-01 20:00:00,"KTPA","Forecast",2016-08-01,20
"83","2016-08-02 01:00:00",82,2016-08-01 21:00:00,"KTPA","Forecast",2016-08-01,21
"84","2016-08-02 02:00:00",82,2016-08-01 22:00:00,"KTPA","Forecast",2016-08-01,22
"85","2016-08-02 03:00:00",81,2016-08-01 23:00:00,"KTPA","Forecast",2016-08-01,23
"86","2016-08-02 04:00:00",81,2016-08-02 00:00:00,"KTPA","Forecast",2016-08-02,0
"87","2016-08-02 05:00:00",80,2016-08-02 01:00:00,"KTPA","Forecast",2016-08-02,1
"88","2016-08-02 06:00:00",79,2016-08-02 02:00:00,"KTPA","Forecast",2016-08-02,2
"89","2016-08-02 07:00:00",78,2016-08-02 03:00:00,"KTPA","Forecast",2016-08-02,3
"90","2016-08-02 08:00:00",78,2016-08-02 04:00:00,"KTPA","Forecast",2016-08-02,4
"91","2016-08-02 09:00:00",77,2016-08-02 05:00:00,"KTPA","Forecast",2016-08-02,5
"92","2016-08-02 10:00:00",77,2016-08-02 06:00:00,"KTPA","Forecast",2016-08-02,6
"93","2016-08-02 11:00:00",77,2016-08-02 07:00:00,"KTPA","Forecast",2016-08-02,7
"94","2016-08-02 12:00:00",78,2016-08-02 08:00:00,"KTPA","Forecast",2016-08-02,8
"95","2016-08-02 13:00:00",81,2016-08-02 09:00:00,"KTPA","Forecast",2016-08-02,9
"96","2016-08-02 14:00:00",84,2016-08-02 10:00:00,"KTPA","Forecast",2016-08-02,10
"97","2016-08-02 15:00:00",86,2016-08-02 11:00:00,"KTPA","Forecast",2016-08-02,11
"98","2016-08-02 16:00:00",88,2016-08-02 12:00:00,"KTPA","Forecast",2016-08-02,12
"99","2016-08-02 17:00:00",90,2016-08-02 13:00:00,"KTPA","Forecast",2016-08-02,13
"100","2016-08-02 18:00:00",91,2016-08-02 14:00:00,"KTPA","Forecast",2016-08-02,14
"101","2016-08-02 19:00:00",91,2016-08-02 15:00:00,"KTPA","Forecast",2016-08-02,15
"102","2016-08-02 20:00:00",91,2016-08-02 16:00:00,"KTPA","Forecast",2016-08-02,16
"103","2016-08-02 21:00:00",90,2016-08-02 17:00:00,"KTPA","Forecast",2016-08-02,17
"104","2016-08-02 22:00:00",89,2016-08-02 18:00:00,"KTPA","Forecast",2016-08-02,18
"105","2016-08-02 23:00:00",87,2016-08-02 19:00:00,"KTPA","Forecast",2016-08-02,19
"106","2016-08-03 00:00:00",84,2016-08-02 20:00:00,"KTPA","Forecast",2016-08-02,20
"107","2016-08-03 01:00:00",82,2016-08-02 21:00:00,"KTPA","Forecast",2016-08-02,21
"108","2016-08-03 02:00:00",82,2016-08-02 22:00:00,"KTPA","Forecast",2016-08-02,22
"109","2016-08-03 03:00:00",81,2016-08-02 23:00:00,"KTPA","Forecast",2016-08-02,23
"110","2016-08-03 04:00:00",81,2016-08-03 00:00:00,"KTPA","Forecast",2016-08-03,0
"111","2016-08-03 05:00:00",81,2016-08-03 01:00:00,"KTPA","Forecast",2016-08-03,1
"112","2016-08-03 06:00:00",80,2016-08-03 02:00:00,"KTPA","Forecast",2016-08-03,2
"113","2016-08-03 07:00:00",79,2016-08-03 03:00:00,"KTPA","Forecast",2016-08-03,3
"114","2016-08-03 08:00:00",79,2016-08-03 04:00:00,"KTPA","Forecast",2016-08-03,4
"115","2016-08-03 09:00:00",78,2016-08-03 05:00:00,"KTPA","Forecast",2016-08-03,5
"116","2016-08-03 10:00:00",78,2016-08-03 06:00:00,"KTPA","Forecast",2016-08-03,6
"117","2016-08-03 11:00:00",78,2016-08-03 07:00:00,"KTPA","Forecast",2016-08-03,7
"118","2016-08-03 12:00:00",79,2016-08-03 08:00:00,"KTPA","Forecast",2016-08-03,8
"119","2016-08-03 13:00:00",82,2016-08-03 09:00:00,"KTPA","Forecast",2016-08-03,9
"120","2016-08-03 14:00:00",84,2016-08-03 10:00:00,"KTPA","Forecast",2016-08-03,10
"121","2016-08-03 15:00:00",87,2016-08-03 11:00:00,"KTPA","Forecast",2016-08-03,11
"122","2016-08-03 16:00:00",88,2016-08-03 12:00:00,"KTPA","Forecast",2016-08-03,12
"123","2016-08-03 17:00:00",90,2016-08-03 13:00:00,"KTPA","Forecast",2016-08-03,13
"124","2016-08-03 18:00:00",90,2016-08-03 14:00:00,"KTPA","Forecast",2016-08-03,14
"125","2016-08-03 19:00:00",89,2016-08-03 15:00:00,"KTPA","Forecast",2016-08-03,15
